store,dept,date,weekly_sales,isholiday
1,1,40214,24924.5,FALSE
1,1,40221,46039.49,TRUE
1,1,40228,41595.55,FALSE
1,1,40235,19403.54,FALSE
1,1,40242,21827.9,FALSE
1,1,40249,21043.39,FALSE
1,1,40256,22136.64,FALSE
1,1,40263,26229.21,FALSE
1,2,40214,50605.27,FALSE
1,2,40221,44682.74,TRUE
1,2,40228,47928.89,FALSE
1,2,40235,44292.87,FALSE
1,2,40242,48397.98,FALSE
1,2,40249,43751.94,FALSE
1,2,40256,43615.49,FALSE
1,2,40263,41892.55,FALSE
1,3,40214,13740.12,FALSE
1,3,40221,10887.84,TRUE
1,3,40228,11523.47,FALSE
1,3,40235,11135.17,FALSE
1,3,40242,12275.58,FALSE
1,3,40249,10123.45,FALSE
1,3,40256,9001.37,FALSE
1,3,40263,10366.85,FALSE
